id|description|gtin|stock_quantity|unit_price
79|Calypso - Strawberry Lemonade|7892006717543|406.52|36.9244
80|Syrup - Chocolate|7891417321999|158.99|53.28
81|Chocolate - Semi Sweet|7891675462240|394.19|32.9946
82|Raspberries - Fresh|7894172976205|426.18|79.5495
83|Cookies - Englishbay Oatmeal|7893030744828|474.22|47.2465
84|Mikes Hard Lemonade|7892069010411|65.17|55.9952
85|Soup - Campbells Beef Stew|7890678350883|338.59|68.4199
86|Cucumber - Pickling Ontario|7896045302551|293.14|73.5133
87|Wine - Red Black Opal Shiraz|7894972505402|12.78|3.4472
88|Coffee Caramel Biscotti|7890566091267|839.01|41.0554
89|Oil - Safflower|7898921382475|942.75|23.7871
90|French Pastry - Mini Chocolate|7893797737034||1.5261
91|Chickhen - Chicken Phyllo|7893317119852|737.8|11.4288
92|Wine - Zinfandel California 2002|7899950324217|19.9|88.6314
93|Pepper - Gypsy Pepper||637.3|39.4764
94|Flounder - Fresh|7891417063763|363.94|20.0858
95|Beans - Turtle Black Dry|7898402220815|952.94|41.5443
96|Mushroom Morel Fresh|7897772717284||76.3582
97|Cup - 3.5oz Foam|7898699103250||41.6738
98|Cream - 35%|7896348614018|450.65|87.2767
99|Flour - Bread|7892218995955|258.12|96.4603
100|Wine - George Duboeuf Rose|7898960534326|200.09|71.104
101|Wine - Chianti Classica Docg|7893802792794|552.53|93.8721
102|Turkey - Whole Fresh|7898069991370|591.25|16.8763
103|Tea - Lemon Scented|7892670921208|778.31|0.0307
104|Pepsi 355 Ml|7893219369601|730.17|73.752
105|Nut - Chestnuts Whole||956.24|94.0675
106|Bananas|7890189488303|294.08|42.9848
107|Jam - Blackberry 20 Ml Jar|7891215738171|917.5|88.4139
108|Pork - Belly Fresh|7897121759395|49.85|54.4167
109|Sausage - Liver|7898372265088||65.1328
110|Beans - Fava Canned|7893072832054|126.71|56.5855
111|Beer - Upper Canada Lager|7896627766061|331.78|70.9329
112|Foil Cont Round|7899081094597|977.99|13.7483
113|Gherkin - Sour|7898368591932|947.45|80.8646
114|Eggplant Oriental|7891873748420|150.14|57.0929
115|Tequila - Sauza Silver|7891634560944|483.05|86.8332
116|Corn - Mini|7899840118661|118.27|43.7712
117|Red Currant Jelly|7898345269095|174.26|44.7579
118|Wine - Soave Folonari|7894157332407|201.79|19.5591
119|Raspberries - Fresh|7899824557944|415.7|37.3693
120|Crab - Soft Shell|7891148948842|737.45|78.1276
121|Cardamon Ground|7897836970837|427.18|35.9017
122|Spic And Span All Purpose|7896682199967|208.59|84.142
123|Wine - Chianti Classica Docg|7895190685816|964.9|32.864
124|Apples - Spartan|7893232100851|406.93|40.5027
125|Ice Cream - Turtles Stick Bar|7898564749793|195.73|54.0151
126|Goldschalger|7899421408268|152.52|2.8163
127|Steampan Lid|7895394159742|185.14|40.0446
128|Vacuum Bags 12x16|7897756052345|992.9|76.0626
129|Wine - Chenin Blanc K.w.v.|7890248579127|823.92|62.4789
130|Pastry - Banana Muffin - Mini|7897135026321|979.07|24.3225
131|Rabbit - Saddles|7895766062251|148.06|98.9573
132|Pasta - Tortellini Fresh|7898829570226|223.59|84.1329
133|Cut Wakame - Hanawakaba|7892965890917|669.07|70.415
134|Fond - Neutral|7895641098141|924.58|31.4876
135|Rabbit - Legs|7899076245757|712.15|1.8709
136|Wonton Wrappers|7892464038422|616.56|78.2918
137|Cheese - Brie|7892709005847|756.16|76.2841
138|Bok Choy - Baby|7893927316550|764.7|13.7481
139|Sugar - Fine|7895003460905|595.67|96.7426
140|Foie Gras|7890429814053|115.78|65.5187
141|Smoked Paprika|7892696236657|550.17|5.7534
142|Tart Shells - Sweet 4|7890577149143|214.14|80.1746
143|Duck - Fat|7894635224166|487.12|65.1236
144|Beef - Striploin|7890533713881|121.33|35.4915
145|Cream - 10%||308.69|11.1938
146|Tea - Honey Green Tea|7899253412392|573.45|68.5728
147|Chicken - Wings Tip Off|7892404591452|965.52|26.6341
148|Aspic - Amber|7896301507005|786.94|56.5393
149|Brocolinni - Gaylan Chinese|7896144979336||19.959
150|Tea - Jasmin Green|7894616109437|363.17|95.2703
151|Pastry - Butterscotch Baked|7896193628775|796.12|34.7168
152|Chocolate - Milk|7898787178646||50.7391
153|Sauce - Vodka Blush|7892197920513|660.47|52.621
154|Wine - Rioja Campo Viejo|7897176014559|32.49|96.6461
155|Wine - Cotes Du Rhone|7899745631060||7.0472
156|Island Oasis - Mango Daiquiri|7899733173897|461.62|68.3273
157|Grapefruit - Pink|7897721380815|678.34|24.0296
158|Duck - Whole|7890255190531|930.36|31.1825
159|Bread Crumbs - Panko|7897668846245|273.63|66.3225
160|The Pop Shoppe - Black Cherry|7896645408874|53.12|71.3339
161|Star Fruit|7896446909326|836.74|4.1095
162|Chicken - Leg Fresh|7899123062391|816.72|16.0258
163|Seedlings - Clamshell|7890922900537|120.05|38.6485
164|Soho Lychee Liqueur|7893438647794|181.75|64.8777
165|Bag - Bread White Plain|7899975236252|23.19|68.1011
166|Ginger - Fresh|7893194138836|605.85|67.2006
167|Salmon - Whole 4 - 6 Pounds|7898950435449|988.51|19.6521
168|Beer - True North Lager|7895485969625|502.72|14.2351
169|Haggis|7897384773360|939.13|91.7437
170|Cookie - Dough Variety|7896118065273|550.87|10.5502
171|Potatoes - Parissienne|7892166530404|896.6|26.539
172|Tobasco Sauce|7897614479335|525.73|19.6466
173|Beef - Bones Marrow|7891967704788|372.5|25.1655
174|Tobasco Sauce|7894061934896|565.22|54.9011
175|Pepper - Black Crushed|7896143061296|577.7|72.0237
176|Syrup - Monin Irish Cream|7890157298840|792.39|28.6434
177|Huck Towels White|7898217629095|973.04|28.4527
178|Puree - Strawberry|7892235220641|27.62|50.9649
179|Vacuum Bags 12x16|7894073824726|556.44|93.1349
180|Kellogs Raisan Bran Bars|7899597838267|566.01|74.2827
181|Wild Boar - Tenderloin|7897187110805|334.24|66.6406
182|Cheese - Stilton|7899373163172|420.6|95.5144
183|Banana - Green|7891693499956|827.69|9.2267
184|Beer - Camerons Cream Ale|7893579335239|225.2|75.8254
185|Nut - Pecan Pieces|7898133672155|347.46|47.7013
186|Oil - Pumpkinseed|7892568345321|522.43|37.6949
187|Latex Rubber Gloves Size 9|7894354373603|292.24|34.3742
188|Syrup - Monin Irish Cream|7893542112400|908.02|63.3455
189|Macaroons - Two Bite Choc|7897530882250|38.62|14.1583
190|Arizona - Plum Green Tea|7897456651693|902.1|96.2152
191|Vermouth - Sweet Cinzano|7892702630234|765.26|88.6829
192|Creme De Cacao Mcguines|7899485954967||21.9449
193|Shrimp - 16 - 20 Cooked Peeled|7892897738117|96.75|69.2042
194|Trout - Hot Smkd Dbl Fillet|7891972253547|66.59|32.0146
195|Pork - Bacon Double Smoked|7892649365186|276.65|19.6844
196|Pasta - Penne Lisce Dry|7895031410141|659.21|43.3465
197|Sausage - Blood Pudding|7894098472675|930.07|63.8863
198|Eggroll|7894576637995|581.08|52.4077
199|Momiji Oroshi Chili Sauce|7898343614747|803.41|78.8245
200|Galliano|7897907898145|507.17|36.5851
201|7up Diet 355 Ml|7894965756912|32.31|73.6954
202|Tea - Decaf Lipton|7898538897385|603.13|80.3447
203|Water - Spring Water 355 Ml|7895148483507|440.73|45.9463
204|Wine - Red Wolf Blass Yellow|7898015346930|279.8|81.8178
205|Nut - Pecan Pieces|7896602129773|929.71|19.9443
206|Tomatoes - Grape|7895747006435|15.58|20.0699
207|Chicken - Wings Tip Off|7895619658670|481.79|33.7757
208|Napkin - Beverge White 2 - Ply|7894521326070|650.2|9.9274
209|Sardines|7892872940644||14.4416
210|Taro Root|7891851860927|72.49|31.1539
211|Island Oasis - Sweet And Sour Mix|7895414120180|501.9|77.6097
212|Asparagus - Frozen|7891391583650|998.29|62.4882
213|Wine - Chateau Aqueria Tavel|7899934974191|564.83|52.9883
214|Mushroom - White Button|7893130149355|749.1|51.1011
215|Pumpkin||839.34|62.913
216|Salmon - Fillets|7897694137647|563.51|76.0653
217|Corn - On The Cob|7895367138188|646.78|92.5577
218|Rabbit - Legs|7897446666607|907.5|46.4808
219|Bread - Rosemary Focaccia|7899360817516||9.1291
220|Turkey Tenderloin Frozen|7891059337967|715.7|22.2727
221|Bagel - Ched Chs Presliced|7893617930629|202.95|12.212
222|Pork Ham Prager|7897619428592|151.9|47.1287
223|Turnip - White|7890579098046|579.88|78.9484
224|Spice - Pepper Portions|7891455944399|565.62|36.6063
225|Bread Country Roll|7893218431901||41.7978
226|Rye Special Old|7899518171953|732.56|70.5171
227|Salt - Celery|7893679415698|979.96|44.5283
228|Seedlings - Mix Organic|7891823847216|97.48|64.5931
229|Grenadine|7895119813172|658.84|38.4606
230|Duck - Whole|7897942288268|43.86|63.346
231|Cheese - Le Cheve Noir|7894162839067|870.55|28.5697
232|Pork - Smoked Back Bacon|7897983701106|591.88|74.2073
233|Cabbage - Savoy|7898552488376||27.8701
234|Wine - Red Oakridge Merlot|7897750893757|776.11|53.426
235|Bread - Italian Corn Meal Poly|7893262775735|439.39|9.1777
236|Cheese - Mozzarella Shredded|7892407849550|6.55|38.7131
237|Muffin Chocolate Individual Wrap|7895220891174|870.63|68.0428
238|Wine - Beringer Founders Estate|7899130056520|249.0|54.5654
239|Garlic|7896785460671|576.15|22.7309
240|Pasta - Rotini Dry|7892508636607|506.29|15.9208
241|Lettuce - California Mix|7891011805451|965.76|16.0489
242|Yokaline|7896261534418|452.68|87.3757
243|Milk - Skim|7896062629340|349.58|52.5475
244|Longos - Chicken Cordon Bleu|7897263060085|660.99|79.1205
245|Pasta - Rotini Dry|7898606832539|868.19|74.7125
246|Sugar - Fine|7897907030412|553.21|20.7771
247|Salt - Sea|7891498592530|137.52|34.9489
248|Puree - Mocha|7891925039500|524.24|43.0058
249|Glass - Juice Clear 5oz 55005|7895314565603|738.06|14.9294
250|Halibut - Steaks|7895906661767|200.96|70.8159
251|Vinegar - Balsamic|7893920619957|656.61|87.2857
252|Lettuce - Romaine Heart|7897306775493|11.51|45.1305
253|Soup - Campbells Beef Barley|7898042348758|703.6|0.6711
254|Juice - Apple Cider|7898618975109|222.52|36.5603
255|Juice - Pineapple 341 Ml|7894454745667|515.39|56.099
256|Kirsch - Schloss|7894053961960|463.35|0.6345
257|Wine - Niagara Peninsula Vqa|7890050187692|202.62|69.0205
258|Isomalt|7895168453726|443.49|35.1225
259|Potatoes - Mini White 3 Oz|7892499225025|71.55|52.3492
260|Star Fruit|7891721615190|681.8|48.4938
261|Sauce - Caesar Dressing|7899144863684|12.74|95.7208
262|Ranchero - Primerba Paste|7898395113977|64.08|87.6756
263|Beef - Kobe Striploin||476.35|36.0357
264|Fennel|7892228226857|925.68|63.2195
265|Garlic - Peeled|7899453034746|995.46|27.9531
266|Cheese Cloth|7892910333936|105.91|17.0055
267|Meldea Green Tea Liquor|7892274068507|188.3|78.7554
268|Roe - Flying Fish|7890325707562|563.18|32.582
269|Radish|7893816845242|826.17|67.2262
270|Carbonated Water - Blackberry|7890726432244||87.5681
271|Coriander - Seed|7894889923249|414.18|59.5749
272|Shortbread - Cookie Crumbs||351.35|83.6689
273|Cheese - Wine|7890384952983|869.46|67.1986
274|Oil - Cooking Spray|7898811645843|772.45|85.5392
275|Soupfoamcont12oz 112con|7894503680272|181.87|38.2623
276|Wine - Pinot Noir Stoneleigh|7893597145928|749.68|4.271
277|Wine - Prosecco Valdobienne|7896651954138|767.7|9.2703
278|Sprouts - Bean|7893204076082|323.39|77.0764
279|Beans - Green|7898089944981|107.73|89.4557
280|Apple - Granny Smith|7893257768224|523.56|5.7251
281|Sprouts Dikon|7899707102312|233.23|19.0535
282|Olives - Nicoise|7898444473344|409.77|37.8157
283|Soup - Campbells Butternut|7898557986974|427.24|0.9542
284|Dc - Frozen Momji|7896582075259|881.39|30.4927
285|Apple - Royal Gala|7891817710351|852.08|25.95
286|Ocean Spray - Ruby Red||820.06|63.215
287|Beer - Heinekin|7899195635528|955.89|16.8509
288|Flour - Buckwheat Dark|7898696668294|931.29|6.5562
289|Cheese - Bakers Cream Cheese|7896877311594|902.47|61.212
290|Wine - Red Cooking|7896186231676|467.85|61.3526
291|Nut - Pine Nuts Whole|7899777754521|508.82|7.2122
292|Vaccum Bag - 14x20|7897518444069|591.41|18.3169
293|Wine - Jackson Triggs Okonagan|7892236884084|731.23|39.0412
294|Bar Nature Valley|7894859549861|704.94|11.9824
295|Pasta - Spaghetti Dry|7898960996173|907.92|49.0664
296|Rabbit - Legs|||5.4888
297|Soup - Campbells Butternut|7893056439310|655.85|86.3269
298|Beer - Mcauslan Apricot|7899019875912|855.03|88.8349
299|Wine - Sauvignon Blanc|7898633376421||9.0481
300|Cheese - St. Paulin|7896066595299|504.2|97.3731
301|Salt And Pepper Mix - Black|7890993194748|88.34|1.5751
302|Horseradish - Prepared|7895202341921|506.43|30.0376
303|Sugar Thermometer|7893323278862|414.88|98.8239
304|Apple - Macintosh|7899928594816|846.56|28.8341
305|Longos - Greek Salad|7893767579111|53.9|56.3024
306|Puff Pastry - Sheets|7891729438061|206.68|96.7782
307|Flour - Teff|7896169113261|777.73|72.8322
308|Chips Potato Swt Chilli Sour|7899864137082|645.33|52.4969
309|Cheese - Shred Cheddar / Mozza|7897521593302|335.01|12.4727
310|Wine - Chablis 2003 Champs|7899615737487|653.86|21.7498
311|Cheese - Wine|7899634967127|653.03|42.784
312|Coffee - Almond Amaretto|7896226750557|508.61|13.2806
313|Vinegar - White Wine|7899468998517|717.03|79.5064
314|Vinegar - Balsamic White|7891887563095|453.85|80.1884
315|Plaintain|7894156736414|817.96|8.0575
316|Pastry - Chocolate Marble Tea|7895801572805|936.25|44.2141
317|Basil - Fresh|7897428592901|179.89|32.1333
318|Oil - Sunflower|7895177414790|528.04|42.9711
319|Cheese - Swiss Sliced|7895252923111|270.87|33.5197
320|Juice - Tomato 48 Oz|7891823034820|665.26|22.5824
321|Sprouts - Alfalfa|7896091808459|440.36|52.4226
322|Tea - Lemon Scented|7897970296201|43.63|68.7826
323|Energy Drink Bawls|7893198703410|120.23|53.8544
324|Pasta - Orzo Dry|7891327024220|733.43|84.1061
325|Pie Shell - 5||629.21|77.0802
326|Container - Clear 16 Oz|7899693966076|430.56|45.9149
327|Tamarind Paste|7896330237297|600.2|34.3727
328|Cocoa Powder - Dutched|7890292893523|271.42|52.8573
329|Leeks - Baby White||332.84|49.3035
330|Sauce - Ranch Dressing|7893715600128|541.64|25.4698
331|Eggplant - Regular||102.39|46.3695
332|Energy Drink Bawls|7894784481528|321.65|87.6552
333|Salmon - Atlantic Fresh Whole|7897324510263|986.75|25.211
334|Puff Pastry - Sheets|7890413566445|450.71|30.1989
335|Paste - Black Olive|7894489964928|191.76|59.6158
336|Kohlrabi|7898072182741|482.03|67.1479
337|Mustard - Seed|7896080915692|571.3|61.3822
338|Scallops 60/80 Iqf|7893382468470|689.12|88.285
339|Bread - Mini Hamburger Bun|7896154542390|279.25|48.5153
340|Mussels - Frozen|7898355501007|156.38|52.1859
341|Soup - Campbells Beef Stew|7897504328399||17.175
342|Almonds Ground Blanched|7899175253508|850.12|54.4744
343|Mushrooms - Black Dried|7898072792120|786.63|45.8937
344|Apple - Granny Smith|7897225284339|285.35|74.4501
345|Crab - Imitation Flakes|7894368974036|422.39|20.0989
346|Tuna - Yellowfin|7893719792019|56.39|65.4461
347|Snapple Raspberry Tea|7893807362586|407.63|90.2707
348|Beef - Texas Style Burger|7893675782725|527.87|95.2685
349|Wine - Pinot Noir Stoneleigh|7890920090588|896.09|27.9563
350|Pasta - Orzo Dry|7894182699214|550.65|41.1296
351|Chocolate - Milk Callets|7896244998520|728.48|79.897
352|Sugar - Individual Portions|7899102589869||66.7963
353|Cup - Translucent 7 Oz Clear|7894769581630|673.8|32.7063
354|Hummus - Spread|7893507795302|108.11|22.4294
355|Scrubbie - Scotchbrite Hand Pad|7891035194931|7.91|43.8021
356|Cheese - Cambozola|7890819121439|784.14|97.1303
357|Wine - Sherry Dry Sack William|7895304195612|745.56|24.3384
358|Island Oasis - Pina Colada|7897696672757|451.77|85.1886
359|Duck - Whole|7894232457150|304.08|6.0607
360|Gelatine Powder|7896613934914|930.08|57.3292
361|Beef Striploin Aaa|7891602869800||93.042
362|Pail - 15l White With Handle|7891995962994|716.03|39.3744
363|Ham - Smoked Bone - In|7895940552266|51.96|25.1921
364|Ginsing - Fresh||423.08|37.0916
365|Fish - Scallops Cold Smoked|7899325284249|167.07|84.7613
366|Vinegar - Cider|7895155905832|127.84|1.7615
367|Puree - Passion Fruit|7895227151089|274.09|77.3762
368|Pepper - Orange|7891421379689||43.5509
369|Wine - White Pinot Grigio|7896925867089|714.74|81.7416
370|Beer - Paulaner Hefeweisse|7895076849758|93.04|36.0468
371|Flavouring Vanilla Artificial|7899269245667|48.51|34.4908
372|Crackers - Water|7890659151929|622.25|19.1354
373|Pork - Backs - Boneless|7890092965737|630.41|59.189
374|Plate Pie Foil|7899679312914|140.39|83.5086
375|Pear - Prickly|7891151139228|963.35|79.8058
376|Beans - Kidney Canned|7891316054064|769.28|91.5718
377|Wine - Magnotta - Bel Paese White|7892024583803|765.7|75.9037
378|Oil - Truffle Black|7894965558168|19.65|94.0069
379|Wine - Chianti Classica Docg|7894874626937|262.89|17.9732
380|Coriander - Seed|7896106473793|884.35|23.058
381|Foam Tray S2|7895648803017|679.7|25.9903
382|Wine - Sauvignon Blanc|7892648364560|859.26|52.4635
383|Wine - Stoneliegh Sauvignon|7898198568654|334.15|9.2649
384|Jack Daniels|7890027653032|671.67|54.7853
385|Pasta - Tortellini Fresh|7892774007198|102.74|50.5264
386|Wine - Prosecco Valdobienne|7895794777591|814.69|68.9103
387|Bandage - Flexible Neon|7899770218344|456.48|87.2746
388|Sparkling Wine - Rose Freixenet|7896062230246|696.94|32.5933
389|Coriander - Ground|7896724256076|739.33|17.1503
390|Lemonade - Mandarin 591 Ml|7892920648919||59.757
391|Bread - Calabrese Baguette|7894651618423|672.7|34.0028
392|Sword Pick Asst|7890375849054|321.69|21.0884
393|Pork - Shoulder|7891556770214|822.83|9.9469
394|Sterno - Chafing Dish Fuel|7893552867433|908.96|92.7598
395|Mushroom - King Eryingii|7890934869706|778.8|26.7092
396|Wine - Pinot Noir Stoneleigh|7892889576355|167.38|62.3557
397|Marjoram - Dried Rubbed|7896429569197|198.21|73.8599
398|Rosemary - Fresh|7895109518329|293.52|43.3634
399|Tomatoes - Roma|7893981053988|352.72|51.4691
400|Pork - Bacon Double Smoked|7896223861445|367.81|82.5878
401|Honey - Lavender|7895570054854|423.0|94.1828
402|Island Oasis - Cappucino Mix|7898402779508|236.97|45.5963
403|Peach - Halves|7894230146695|824.16|86.1777
404|Juice - Apple 1.36l|7894977336088|618.71|36.8235
405|Wasabi Powder|7899824554978|110.61|61.1484
406|Longos - Lasagna Veg|7898528538417|74.66|56.6005
407|Wine - Red Black Opal Shiraz|7898507955524|576.46|88.4107
408|Bread - White Epi Baguette|7891330220964|542.49|86.2181
409|Curry Powder Madras|7890692426314|475.59|41.6401
410|Mushroom - Portebello|7892024672400|628.68|62.7603
411|Lid Coffeecup 12oz D9542b||664.49|69.7852
412|Cut Wakame - Hanawakaba|7891513679409|794.29|13.5901
413|Hold Up Tool Storage Rack|7896743036816|550.37|39.6615
414|Tea - Lemon Green Tea|7895053236134|548.93|50.6616
415|Kiwano|7894016030976|355.55|4.9731
416|Nantucket - Kiwi Berry Cktl.|7894359100711|270.49|44.5593
417|Container - Foam Dixie 12 Oz|7892203854953|664.21|70.9911
418|Cakes Assorted|7892618518654|38.22|37.0529
419|Pasta - Fettuccine Dry|7898756390118|714.19|90.5242
420|Vodka - Moskovskaya||499.11|83.967
421|Bread - Olive|7893682703055|184.92|20.5126
422|Pasta - Linguini Dry|||90.6233
423|Radish - Black Winter Organic|7892853523196|734.07|73.2664
424|Creme De Cacao Mcguines|7892934105076|600.55|77.4224
425|Butter Balls Salted|7894356508145|7.64|32.267
426|Juice - Lemon|7893145183741|957.38|21.5442
427|Nut - Chestnuts Whole|7899072105119|168.63|58.8657
428|Dried Cherries|7895152048572|568.63|41.4149
429|Pastry - Raisin Muffin - Mini|7895886218494|870.63|1.6488
430|Potatoes - Fingerling 4 Oz|7898847426121|192.74|52.4974
431|Bread - Roll Soft White Round|7892382091937|464.85|37.5092
432|Wine - Bourgogne 2002 La|7895017725111|935.54|38.3779
433|Saskatoon Berries - Frozen|7893820362522|222.02|10.9929
434|Tart Shells - Sweet 2|7899946691107|699.45|94.4925
435|Sun - Dried Tomatoes|7890222155719|486.44|85.1311
436|Soup - Base Broth Beef|7899685557892|997.09|38.7417
437|Stock - Veal Brown|7899666577262|284.69|17.4918
438|Wine - Red Cooking|7897560757986|613.24|21.3147
439|Appetizer - Spring Roll Veg|7895966556667||44.2717
440|Syrup - Pancake|7898622720649|13.37|35.0606
441|Lettuce - Frisee|7891483983072|375.33|8.9806
442|Wine - Zinfandel Rosenblum|7893211806894|664.66|96.9033
443|Pasta - Linguini Dry||97.34|75.5976
444|Evaporated Milk - Skim|7892130932402|865.95|25.4076
445|Fenngreek Seed|7897147109544|761.28|16.8269
446|Crawfish|7899063995499|591.35|5.2865
447|Lid Coffeecup 12oz D9542b|7890479599089||23.047
448|Venison - Ground|7891767178970|704.73|27.407
449|Mix - Cappucino Cocktail|7891542315482|45.4|63.839
450|Nut - Hazelnut Whole|7896551256011|889.34|3.9783
451|Jameson Irish Whiskey|7891951082109|633.65|71.2947
452|Split Peas - Yellow Dry|7893010342258|109.63|90.1407
453|Juice - Propel Sport|7897463132789|465.21|34.8911
454|Bag - Bread White Plain|7890082079885|181.53|79.5498
455|Salsify Organic|7894385826041|347.62|66.0628
456|Papadam|7895842580048|324.57|15.5552
457|Coffee - Espresso|7898313028399|860.1|3.2574
458|Water - Spring Water 355 Ml|7899215172799|104.64|22.534
459|Wonton Wrappers|7890187348677|582.64|92.419
460|Wine - Rhine Riesling Wolf Blass|7894624797857|223.97|50.8523
461|Cranberry Foccacia|7895714312010|508.25|16.177
462|Iced Tea Concentrate|7891266893361|458.96|87.6179
463|Cheese - Mozzarella Shredded|7898247447718||80.3407
464|Veal - Provimi Inside|7890804012076|741.14|3.6643
465|Cocoa Powder - Dutched|7894625064093|758.08|86.7582
466|Pastry - Key Limepoppy Seed Tea|7897848710925|907.21|48.6988
467|Stock - Beef Brown|7898994474443|954.2|47.1172
468|Lamb - Leg Boneless|7897278851178|470.58|14.2086
469|Yogurt - Peach 175 Gr|7890105209746|659.0|44.7689
470|Pepper Squash|7895638907683|989.77|27.1545
471|Potatoes - Yukon Gold 5 Oz|7893269805763|527.79|4.4985
472|Vinegar - White Wine|7899738278408|246.45|4.3586
473|Pastry - Banana Tea Loaf|7894817976753|318.92|97.4722
474|Cheese - Brie Cups 125g|7898865982986|154.18|96.2882
475|Creme De Menthe Green|7897208408201|56.58|95.6871
476|Sprouts - Peppercress|7897458050523|725.98|30.0489
477|Dasheen|7893062357436|751.01|6.7169
478|Icecream - Dibs|7891533941216|154.45|22.0339
479|Longos - Assorted Sandwich|7896364058259|937.35|92.9867
480|Rolled Oats|7895415856253|956.53|23.6898
481|Aromat Spice / Seasoning|7891287621561|527.71|71.6919
482|Mustard - Seed|7894577741141||85.4537
483|Wine - Niagara Peninsula Vqa|7896900278891|786.76|51.0632
